Student,Subject,Status
Alice White,Mathematics,PASSED
Alice White,Music,FAILED
Alice White,Philosophy,FAILED
Alice White,Physics,FAILED
Alice White,Psychology,FAILED
Alice White,Sociology,PASSED
Alice White,Statistics,PASSED
Alice Yellow,Art,FAILED
Alice Yellow,Biology,PASSED
Alice Yellow,Chemistry,PASSED
Alice Yellow,Computer Science,FAILED
Alice Yellow,Economics,PASSED
Alice Yellow,English,FAILED
Alice Yellow,Geography,FAILED
Alice Yellow,History,FAILED
Alice Yellow,Mathematics,FAILED
Alice Yellow,Music,FAILED
Alice Yellow,Philosophy,PASSED
Alice Yellow,Physics,FAILED
Alice Yellow,Psychology,FAILED
Alice Yellow,Sociology,PASSED
Alice Yellow,Statistics,PASSED
Bob Azure,Art,PASSED
Bob Azure,Biology,PASSED
Bob Azure,Chemistry,PASSED
Bob Azure,Computer Science,FAILED
Bob Azure,Economics,PASSED
Bob Azure,English,FAILED
Bob Azure,Geography,FAILED
Bob Azure,History,FAILED
Bob Azure,Mathematics,FAILED
Bob Azure,Music,PASSED
Bob Azure,Philosophy,PASSED
Bob Azure,Physics,FAILED
Bob Azure,Psychology,FAILED
Bob Azure,Sociology,PASSED
Bob Azure,Statistics,PASSED
Bob Beige,Art,PASSED
Bob Beige,Biology,PASSED
Bob Beige,Chemistry,PASSED
Bob Beige,Computer Science,FAILED
Bob Beige,Economics,PASSED
Bob Beige,English,FAILED
Bob Beige,Geography,FAILED
Bob Beige,History,PASSED
Bob Beige,Mathematics,FAILED
Bob Beige,Music,FAILED
Bob Beige,Philosophy,PASSED
Bob Beige,Physics,PASSED
Bob Beige,Psychology,FAILED
Bob Beige,Sociology,PASSED
Bob Beige,Statistics,PASSED
Bob Black,Art,FAILED
Bob Black,Biology,PASSED
Bob Black,Chemistry,PASSED
Bob Black,Computer Science,FAILED
Bob Black,Economics,PASSED
Bob Black,English,PASSED
Bob Black,Geography,FAILED
Bob Black,History,PASSED
Bob Black,Mathematics,FAILED
Bob Black,Music,FAILED
Bob Black,Philosophy,FAILED
Bob Black,Physics,PASSED
Bob Black,Psychology,PASSED
Bob Black,Sociology,PASSED
Bob Black,Statistics,PASSED
Bob Blue,Art,PASSED
Bob Blue,Biology,PASSED
Bob Blue,Chemistry,PASSED
Bob Blue,Computer Science,FAILED
Bob Blue,Economics,PASSED
Bob Blue,English,PASSED
Bob Blue,Geography,FAILED
Bob Blue,History,FAILED
Bob Blue,Mathematics,FAILED
Bob Blue,Music,FAILED
Bob Blue,Philosophy,FAILED
Bob Blue,Physics,FAILED
Bob Blue,Psychology,FAILED
Bob Blue,Sociology,FAILED
Bob Blue,Statistics,PASSED
Bob Brown,Art,FAILED
Bob Brown,Biology,PASSED
Bob Brown,Chemistry,PASSED
Bob Brown,Computer Science,FAILED
Bob Brown,Economics,PASSED
Bob Brown,English,PASSED
Bob Brown,Geography,FAILED
Bob Brown,History,PASSED
Bob Brown,Mathematics,PASSED
Bob Brown,Music,FAILED
Bob Brown,Philosophy,FAILED
Bob Brown,Physics,FAILED
Bob Brown,Psychology,PASSED
Bob Brown,Sociology,PASSED
Bob Brown,Statistics,PASSED
Bob Cyan,Art,PASSED
Bob Cyan,Biology,PASSED
Bob Cyan,Chemistry,PASSED
Bob Cyan,Computer Science,FAILED
Bob Cyan,Economics,PASSED
Bob Cyan,English,PASSED
Bob Cyan,Geography,FAILED
Bob Cyan,History,FAILED
Bob Cyan,Mathematics,FAILED
Bob Cyan,Music,FAILED
Bob Cyan,Philosophy,PASSED
Bob Cyan,Physics,FAILED
Bob Cyan,Psychology,FAILED
Bob Cyan,Sociology,PASSED
Bob Cyan,Statistics,PASSED
Bob Davis,Art,FAILED
Bob Davis,Biology,PASSED
Bob Davis,Chemistry,PASSED
Bob Davis,Computer Science,FAILED
Bob Davis,Economics,PASSED
Bob Davis,English,PASSED
Bob Davis,Geography,FAILED
Bob Davis,History,PASSED
Bob Davis,Mathematics,PASSED
Bob Davis,Music,FAILED
Bob Davis,Philosophy,FAILED
Bob Davis,Physics,FAILED
Bob Davis,Psychology,PASSED
Bob Davis,Sociology,PASSED
Bob Davis,Statistics,PASSED
Bob Gray,Art,FAILED
Bob Gray,Biology,PASSED
Bob Gray,Chemistry,PASSED
Bob Gray,Computer Science,FAILED
Bob Gray,Economics,PASSED
Bob Gray,English,PASSED
Bob Gray,Geography,FAILED
Bob Gray,History,FAILED
Bob Gray,Mathematics,FAILED
Bob Gray,Music,FAILED
Bob Gray,Philosophy,PASSED
Bob Gray,Physics,FAILED
Bob Gray,Psychology,PASSED
Bob Gray,Sociology,PASSED
Bob Gray,Statistics,PASSED
Bob Green,Art,FAILED
Bob Green,Biology,PASSED
Bob Green,Chemistry,PASSED
Bob Green,Computer Science,FAILED
Bob Green,Economics,PASSED
Bob Green,English,FAILED
Bob Green,Geography,FAILED
Bob Green,History,FAILED
Bob Green,Mathematics,FAILED
Bob Green,Music,FAILED
Bob Green,Philosophy,FAILED
Bob Green,Physics,FAILED
Bob Green,Psychology,PASSED
Bob Green,Sociology,PASSED
Bob Green,Statistics,PASSED
Bob Indigo,Art,FAILED
Bob Indigo,Biology,PASSED
Bob Indigo,Chemistry,PASSED
Bob Indigo,Computer Science,PASSED
Bob Indigo,Economics,PASSED
Bob Indigo,English,PASSED
Bob Indigo,Geography,FAILED
Bob Indigo,History,PASSED
Bob Indigo,Mathematics,FAILED
Bob Indigo,Music,FAILED
Bob Indigo,Philosophy,PASSED
Bob Indigo,Physics,PASSED
Bob Indigo,Psychology,PASSED
Bob Indigo,Sociology,FAILED
Bob Indigo,Statistics,PASSED
Bob Johnson,Art,FAILED
Bob Johnson,Biology,PASSED
Bob Johnson,Chemistry,PASSED
Bob Johnson,Computer Science,FAILED
Bob Johnson,Economics,PASSED
Bob Johnson,English,PASSED
Bob Johnson,Geography,FAILED
Bob Johnson,History,FAILED
Bob Johnson,Mathematics,FAILED
Bob Johnson,Music,PASSED
Bob Johnson,Philosophy,PASSED
Bob Johnson,Physics,FAILED
Bob Johnson,Psychology,PASSED
Bob Johnson,Sociology,FAILED
Bob Johnson,Statistics,PASSED
Bob Magenta,Art,PASSED
Bob Magenta,Biology,PASSED
Bob Magenta,Chemistry,PASSED
Bob Magenta,Computer Science,PASSED
Bob Magenta,Economics,PASSED
Bob Magenta,English,PASSED
Bob Magenta,Geography,FAILED
Bob Magenta,History,PASSED
Bob Magenta,Mathematics,FAILED
Bob Magenta,Music,FAILED
Bob Magenta,Philosophy,PASSED
Bob Magenta,Physics,FAILED
Bob Magenta,Psychology,PASSED
Bob Magenta,Sociology,PASSED
Bob Magenta,Statistics,PASSED
Bob Orange,Art,FAILED
Bob Orange,Biology,PASSED
Bob Orange,Chemistry,PASSED
Bob Orange,Computer Science,FAILED
Bob Orange,Economics,PASSED
Bob Orange,English,PASSED
Bob Orange,Geography,FAILED
Bob Orange,History,PASSED
Bob Orange,Mathematics,FAILED
Bob Orange,Music,FAILED
Bob Orange,Philosophy,PASSED
Bob Orange,Physics,FAILED
Bob Orange,Psychology,FAILED
Bob Orange,Sociology,FAILED
Bob Orange,Statistics,PASSED
Bob Pink,Art,PASSED
Bob Pink,Biology,PASSED
Bob Pink,Chemistry,PASSED
Bob Pink,Computer Science,FAILED
Bob Pink,Economics,PASSED
Bob Pink,English,FAILED
Bob Pink,Geography,FAILED
Bob Pink,History,PASSED
Bob Pink,Mathematics,FAILED
Bob Pink,Music,FAILED
Bob Pink,Philosophy,FAILED
Bob Pink,Physics,FAILED
Bob Pink,Psychology,PASSED
Bob Pink,Sociology,PASSED
Bob Pink,Statistics,PASSED
Bob Purple,Art,FAILED
Bob Purple,Biology,PASSED
Bob Purple,Chemistry,PASSED
Bob Purple,Computer Science,FAILED
Bob Purple,Economics,PASSED
Bob Purple,English,PASSED
Bob Purple,Geography,FAILED
Bob Purple,History,PASSED
Bob Purple,Mathematics,PASSED
Bob Purple,Music,FAILED
Bob Purple,Philosophy,PASSED
Bob Purple,Physics,FAILED
Bob Purple,Psychology,FAILED
Bob Purple,Sociology,PASSED
Bob Purple,Statistics,PASSED
Bob Red,Art,FAILED
Bob Red,Biology,PASSED
Bob Red,Chemistry,PASSED
Bob Red,Computer Science,FAILED
Bob Red,Economics,PASSED
Bob Red,English,PASSED
Bob Red,Geography,FAILED
Bob Red,History,PASSED
Bob Red,Mathematics,FAILED
Bob Red,Music,PASSED
Bob Red,Philosophy,PASSED
Bob Red,Physics,FAILED
Bob Red,Psychology,FAILED
Bob Red,Sociology,PASSED
Bob Red,Statistics,PASSED
Bob Teal,Art,FAILED
Bob Teal,Biology,PASSED
Bob Teal,Chemistry,PASSED
Bob Teal,Computer Science,PASSED
Bob Teal,Economics,PASSED
Bob Teal,English,PASSED
Bob Teal,Geography,FAILED
Bob Teal,History,FAILED
Bob Teal,Mathematics,FAILED
Bob Teal,Music,FAILED
Bob Teal,Philosophy,PASSED
Bob Teal,Physics,FAILED
Bob Teal,Psychology,PASSED
Bob Teal,Sociology,FAILED
Bob Teal,Statistics,PASSED
Bob Violet,Art,FAILED
Bob Violet,Biology,PASSED
Bob Violet,Chemistry,PASSED
Bob Violet,Computer Science,PASSED
Bob Violet,Economics,PASSED
Bob Violet,English,PASSED
Bob Violet,Geography,FAILED
Bob Violet,History,PASSED
Bob Violet,Mathematics,FAILED
Bob Violet,Music,FAILED
Bob Violet,Philosophy,FAILED
Bob Violet,Physics,PASSED
Bob Violet,Psychology,PASSED
Bob Violet,Sociology,FAILED
Bob Violet,Statistics,PASSED
Bob White,Art,FAILED
Bob White,Biology,PASSED
Bob White,Chemistry,PASSED
Bob White,Computer Science,FAILED
Bob White,Economics,PASSED
Bob White,English,PASSED
Bob White,Geography,FAILED
Bob White,History,FAILED
Bob White,Mathematics,FAILED
Bob White,Music,FAILED
Bob White,Philosophy,PASSED
Bob White,Physics,FAILED
Bob White,Psychology,PASSED
Bob White,Sociology,FAILED
Bob White,Statistics,PASSED
Bob Yellow,Art,FAILED
Bob Yellow,Biology,PASSED
Bob Yellow,Chemistry,PASSED
Bob Yellow,Computer Science,PASSED
Bob Yellow,Economics,PASSED
Bob Yellow,English,PASSED
Bob Yellow,Geography,FAILED
Bob Yellow,History,PASSED
Bob Yellow,Mathematics,FAILED
Bob Yellow,Music,PASSED
Bob Yellow,Philosophy,PASSED
Bob Yellow,Physics,FAILED
Bob Yellow,Psychology,PASSED
Bob Yellow,Sociology,FAILED
Bob Yellow,Statistics,PASSED
Charlie Azure,Art,FAILED
Charlie Azure,Biology,PASSED
Charlie Azure,Chemistry,PASSED
Charlie Azure,Computer Science,FAILED
Charlie Azure,Economics,PASSED
Charlie Azure,English,FAILED
Charlie Azure,Geography,FAILED
Charlie Azure,History,PASSED
Charlie Azure,Mathematics,FAILED
Charlie Azure,Music,PASSED
Charlie Azure,Philosophy,PASSED
Charlie Azure,Physics,FAILED
Charlie Azure,Psychology,PASSED
Charlie Azure,Sociology,PASSED
Charlie Azure,Statistics,PASSED
Charlie Beige,Art,FAILED
Charlie Beige,Biology,PASSED
Charlie Beige,Chemistry,PASSED
Charlie Beige,Computer Science,FAILED
Charlie Beige,Economics,PASSED
Charlie Beige,English,PASSED
Charlie Beige,Geography,FAILED
Charlie Beige,History,FAILED
Charlie Beige,Mathematics,FAILED
Charlie Beige,Music,FAILED
Charlie Beige,Philosophy,PASSED
Charlie Beige,Physics,FAILED
Charlie Beige,Psychology,FAILED
Charlie Beige,Sociology,FAILED
Charlie Beige,Statistics,PASSED
Charlie Black,Art,FAILED
Charlie Black,Biology,PASSED
Charlie Black,Chemistry,PASSED
Charlie Black,Computer Science,PASSED
Charlie Black,Economics,PASSED
Charlie Black,English,PASSED
Charlie Black,Geography,FAILED
Charlie Black,History,FAILED
Charlie Black,Mathematics,FAILED
Charlie Black,Music,FAILED
Charlie Black,Philosophy,FAILED
Charlie Black,Physics,FAILED
Charlie Black,Psychology,FAILED
Charlie Black,Sociology,PASSED
Charlie Black,Statistics,PASSED
Charlie Blue,Art,FAILED
Charlie Blue,Biology,PASSED
Charlie Blue,Chemistry,PASSED
Charlie Blue,Computer Science,FAILED
Charlie Blue,Economics,PASSED
Charlie Blue,English,PASSED
Charlie Blue,Geography,FAILED
Charlie Blue,History,FAILED
Charlie Blue,Mathematics,FAILED
Charlie Blue,Music,FAILED
Charlie Blue,Philosophy,FAILED
Charlie Blue,Physics,FAILED
Charlie Blue,Psychology,PASSED
Charlie Blue,Sociology,PASSED
Charlie Blue,Statistics,PASSED
Charlie Brown,Art,PASSED
Charlie Brown,Biology,PASSED
Charlie Brown,Chemistry,PASSED
Charlie Brown,Computer Science,FAILED
Charlie Brown,Economics,PASSED
Charlie Brown,English,FAILED
Charlie Brown,Geography,FAILED
Charlie Brown,History,PASSED
Charlie Brown,Mathematics,FAILED
Charlie Brown,Music,FAILED
Charlie Brown,Philosophy,PASSED
Charlie Brown,Physics,FAILED
Charlie Brown,Psychology,FAILED
Charlie Brown,Sociology,PASSED
Charlie Brown,Statistics,PASSED
Charlie Cyan,Art,FAILED
Charlie Cyan,Biology,PASSED
Charlie Cyan,Chemistry,PASSED
Charlie Cyan,Computer Science,FAILED
Charlie Cyan,Economics,PASSED
Charlie Cyan,English,PASSED
Charlie Cyan,Geography,FAILED
Charlie Cyan,History,PASSED
Charlie Cyan,Mathematics,FAILED
Charlie Cyan,Music,FAILED
Charlie Cyan,Philosophy,PASSED
Charlie Cyan,Physics,FAILED
Charlie Cyan,Psychology,PASSED
Charlie Cyan,Sociology,PASSED
Charlie Cyan,Statistics,PASSED
Charlie Davis,Art,FAILED
Charlie Davis,Biology,PASSED
Charlie Davis,Chemistry,PASSED
Charlie Davis,Computer Science,FAILED
Charlie Davis,Economics,PASSED
Charlie Davis,English,PASSED
Charlie Davis,Geography,FAILED
Charlie Davis,History,PASSED
Charlie Davis,Mathematics,PASSED
Charlie Davis,Music,PASSED
Charlie Davis,Philosophy,PASSED
Charlie Davis,Physics,FAILED
Charlie Davis,Psychology,PASSED
Charlie Davis,Sociology,PASSED
Charlie Davis,Statistics,PASSED
Charlie Gray,Art,FAILED
Charlie Gray,Biology,PASSED
Charlie Gray,Chemistry,PASSED
Charlie Gray,Computer Science,FAILED
Charlie Gray,Economics,PASSED
Charlie Gray,English,PASSED
Charlie Gray,Geography,FAILED
Charlie Gray,History,PASSED
Charlie Gray,Mathematics,FAILED
Charlie Gray,Music,PASSED
Charlie Gray,Philosophy,PASSED
Charlie Gray,Physics,FAILED
Charlie Gray,Psychology,PASSED
Charlie Gray,Sociology,PASSED
Charlie Gray,Statistics,PASSED
Charlie Green,Art,FAILED
Charlie Green,Biology,PASSED
Charlie Green,Chemistry,PASSED
Charlie Green,Computer Science,FAILED
Charlie Green,Economics,PASSED
Charlie Green,English,FAILED
Charlie Green,Geography,FAILED
Charlie Green,History,FAILED
Charlie Green,Mathematics,FAILED
Charlie Green,Music,FAILED
Charlie Green,Philosophy,FAILED
Charlie Green,Physics,PASSED
Charlie Green,Psychology,PASSED
Charlie Green,Sociology,PASSED
Charlie Green,Statistics,PASSED
Charlie Indigo,Art,FAILED
Charlie Indigo,Biology,PASSED
Charlie Indigo,Chemistry,PASSED
Charlie Indigo,Computer Science,FAILED
Charlie Indigo,Economics,PASSED
Charlie Indigo,English,PASSED
Charlie Indigo,Geography,FAILED
Charlie Indigo,History,PASSED
Charlie Indigo,Mathematics,FAILED
Charlie Indigo,Music,FAILED
Charlie Indigo,Philosophy,FAILED
Charlie Indigo,Physics,FAILED
Charlie Indigo,Psychology,FAILED
Charlie Indigo,Sociology,FAILED
Charlie Indigo,Statistics,PASSED
Charlie Johnson,Art,FAILED
Charlie Johnson,Biology,PASSED
Charlie Johnson,Chemistry,PASSED
Charlie Johnson,Computer Science,FAILED
Charlie Johnson,Economics,PASSED
Charlie Johnson,English,FAILED
Charlie Johnson,Geography,FAILED
Charlie Johnson,History,FAILED
Charlie Johnson,Mathematics,FAILED
Charlie Johnson,Music,FAILED
Charlie Johnson,Philosophy,PASSED
Charlie Johnson,Physics,PASSED
Charlie Johnson,Psychology,PASSED
Charlie Johnson,Sociology,PASSED
Charlie Johnson,Statistics,PASSED
Charlie Magenta,Art,FAILED
Charlie Magenta,Biology,PASSED
Charlie Magenta,Chemistry,PASSED
Charlie Magenta,Computer Science,PASSED
Charlie Magenta,Economics,PASSED
Charlie Magenta,English,PASSED
Charlie Magenta,Geography,FAILED
Charlie Magenta,History,FAILED
Charlie Magenta,Mathematics,FAILED
Charlie Magenta,Music,FAILED
Charlie Magenta,Philosophy,PASSED
Charlie Magenta,Physics,FAILED
Charlie Magenta,Psychology,PASSED
Charlie Magenta,Sociology,PASSED
Charlie Magenta,Statistics,PASSED
Charlie Orange,Art,FAILED
Charlie Orange,Biology,PASSED
Charlie Orange,Chemistry,PASSED
Charlie Orange,Computer Science,FAILED
Charlie Orange,Economics,PASSED
Charlie Orange,English,FAILED
Charlie Orange,Geography,FAILED
Charlie Orange,History,PASSED
Charlie Orange,Mathematics,FAILED
Charlie Orange,Music,FAILED
Charlie Orange,Philosophy,PASSED
Charlie Orange,Physics,PASSED
Charlie Orange,Psychology,PASSED
Charlie Orange,Sociology,PASSED
Charlie Orange,Statistics,PASSED
Charlie Pink,Art,FAILED
Charlie Pink,Biology,PASSED
Charlie Pink,Chemistry,PASSED
Charlie Pink,Computer Science,FAILED
Charlie Pink,Economics,PASSED
Charlie Pink,English,PASSED
Charlie Pink,Geography,FAILED
Charlie Pink,History,PASSED
Charlie Pink,Mathematics,FAILED
Charlie Pink,Music,FAILED
Charlie Pink,Philosophy,FAILED
Charlie Pink,Physics,FAILED
Charlie Pink,Psychology,PASSED
Charlie Pink,Sociology,PASSED
Charlie Pink,Statistics,PASSED
Charlie Purple,Art,FAILED
Charlie Purple,Biology,PASSED
Charlie Purple,Chemistry,PASSED
Charlie Purple,Computer Science,FAILED
Charlie Purple,Economics,PASSED
Charlie Purple,English,PASSED
Charlie Purple,Geography,FAILED
Charlie Purple,History,PASSED
Charlie Purple,Mathematics,FAILED
Charlie Purple,Music,FAILED
Charlie Purple,Philosophy,PASSED
Charlie Purple,Physics,FAILED
Charlie Purple,Psychology,PASSED
Charlie Purple,Sociology,FAILED
Charlie Purple,Statistics,PASSED
Charlie Red,Art,FAILED
Charlie Red,Biology,PASSED
Charlie Red,Chemistry,PASSED
Charlie Red,Computer Science,FAILED
Charlie Red,Economics,PASSED
Charlie Red,English,PASSED
Charlie Red,Geography,FAILED
Charlie Red,History,PASSED
Charlie Red,Mathematics,FAILED
Charlie Red,Music,FAILED
Charlie Red,Philosophy,PASSED
Charlie Red,Physics,FAILED
Charlie Red,Psychology,PASSED
Charlie Red,Sociology,FAILED
Charlie Red,Statistics,PASSED
Charlie Teal,Art,FAILED
Charlie Teal,Biology,PASSED
Charlie Teal,Chemistry,PASSED
Charlie Teal,Computer Science,FAILED
Charlie Teal,Economics,PASSED
Charlie Teal,English,FAILED
Charlie Teal,Geography,FAILED
Charlie Teal,History,PASSED
Charlie Teal,Mathematics,FAILED
Charlie Teal,Music,FAILED
Charlie Teal,Philosophy,FAILED
Charlie Teal,Physics,FAILED
Charlie Teal,Psychology,PASSED
Charlie Teal,Sociology,PASSED
